path	depth_threshold	coverage_threshold	median_length
trnL-UAA/?/tRNA/2	0.4	0.7	50
trnL-UAG/?/tRNA/1	0.4	0.7	80
trnM-CAU/?/tRNA/1	0.4	0.7	73
trnN-GUU/?/tRNA/1	0.4	0.7	72
trnP-GGG/?/tRNA/1	0.4	0.7	74
trnP-UGG/?/tRNA/1	0.4	0.7	74
trnQ-UUG/?/tRNA/1	0.4	0.7	72
trnR-ACG/?/tRNA/1	0.4	0.7	74
trnR-CCG/?/tRNA/1	0.4	0.7	74
trnR-UCU/?/tRNA/1	0.4	0.7	72
trnS-GCU/?/tRNA/1	0.4	0.7	88
trnS-GGA/?/tRNA/1	0.4	0.7	87
trnS-UGA/?/tRNA/1	0.4	0.7	93
trnT-GGU/?/tRNA/1	0.4	0.7	72
trnT-UGU/?/tRNA/1	0.4	0.7	73
trnV-GAC/?/tRNA/1	0.4	0.7	72
trnV-UAC/?/intron/1	0.1	0.1	591
trnV-UAC/?/tRNA/1	0.4	0.7	39
trnV-UAC/?/tRNA/2	0.4	0.7	35
trnW-CCA/?/tRNA/1	0.4	0.7	74
trnY-GUA/?/tRNA/1	0.4	0.7	84
ycf1/?/CDS/1	0.025	0.10	5575
ycf2/?/CDS/1	0.05	0.15	6845
ycf3/?/CDS/1	0.1	0.25	124
ycf3/?/CDS/2	0.1	0.25	230
ycf3/?/CDS/3	0.1	0.25	153
ycf3/?/intron/1	0.1	0.1	727
ycf3/?/intron/2	0.1	0.1	740
ycf4/?/CDS/1	0.05	0.25	555
psb30/?/CDS/1	0.05	0.125	102
ycf66/?/CDS/1	0.1	0.25	106
ycf66/?/CDS/2	0.1	0.25	311
ycf66/?/intron/1	0.1	0.1	514
